session_date,scan_et,symbol,side,entry,sl,tp,notional_usdt,wallet_before,wallet_after,pnl_usdt_gross,fee_usdt,pnl_usdt,pnl_r,outcome,ob_low,ob_high,impulse_pct,entry_mode
2026-06-24,12:30,COINUSDT,SHORT,152.08,153.3398,149.5604,1256.4825,1224.5186,1238.8015,15.0368,0.7539,14.2829,1.4447,session_close,152.08,152.89,0.021432,ob_prox
2026-06-25,15:00,COINUSDT,SHORT,142.73,144.3461,139.4977,929.9493,1238.8015,1238.048,-0.1955,0.558,-0.7535,-0.0186,session_close,142.73,143.88,0.021941,ob_prox
2026-06-29,11:15,COINUSDT,LONG,148.01,146.3329,151.3642,928.7263,1238.048,1258.5376,21.0468,0.5572,20.4896,2.0,win,146.76,148.01,0.014476,ob_prox
2026-02-09,11:30,CRCLUSDT,LONG,59.25,58.2115,61.327,484.9543,1000.0,1006.6661,6.9571,0.291,6.6661,0.8185,session_close,58.33,59.25,0.009357,ob_prox
2026-02-10,10:15,CRCLUSDT,LONG,60.65,59.5387,62.8726,466.986,1006.6661,1000.1492,-6.2367,0.2802,-6.5169,-0.7289,session_close,59.66,60.65,0.024146,ob_prox
2026-02-11,13:45,CRCLUSDT,LONG,57.02,56.556,57.9481,1044.6132,1000.1492,1016.5249,17.0025,0.6268,16.3757,2.0,win,56.67,57.02,0.012361,ob_prox
2026-02-12,10:15,CRCLUSDT,SHORT,57.69,58.5054,56.0592,611.3324,1016.5249,1033.439,17.2809,0.3668,16.9141,2.0,win,57.69,58.39,0.0157,ob_prox
2026-02-19,10:00,CRCLUSDT,SHORT,61.13,62.9923,57.4055,288.3486,1033.439,1029.3509,-3.9151,0.173,-4.0881,-0.4457,session_close,61.13,62.87,0.023544,ob_prox
2026-02-20,12:00,CRCLUSDT,SHORT,64.16,64.7183,63.0434,1005.4571,1029.3509,1046.2466,17.499,0.6033,16.8957,2.0,win,64.16,64.59,0.019154,ob_prox
2026-02-23,10:00,CRCLUSDT,SHORT,61.78,63.0735,59.193,424.7483,1046.2466,1049.7731,3.7813,0.2548,3.5265,0.4252,session_close,61.78,62.89,0.011909,ob_prox
2026-02-24,09:30,CRCLUSDT,LONG,60.56,60.1675,61.3449,1376.8651,1049.7731,1066.7931,17.8461,0.8261,17.02,2.0,win,60.35,60.56,0.018803,ob_prox
2026-02-25,10:45,CRCLUSDT,LONG,74.44,70.9128,81.4944,191.3694,1066.7931,1084.8138,18.1355,0.1148,18.0207,2.0,win,71.16,74.44,0.016726,ob_prox
2026-02-26,14:30,CRCLUSDT,LONG,86.53,84.4158,90.7585,377.386,1084.8138,1088.0765,3.4891,0.2264,3.2627,0.3784,session_close,84.68,86.53,0.008434,ob_prox
2026-03-02,14:15,CRCLUSDT,LONG,95.08,94.228,96.7841,1032.0571,1088.0765,1100.2657,12.8084,0.6192,12.1892,1.3849,session_close,94.53,95.08,0.020775,ob_prox
2026-03-03,09:45,CRCLUSDT,LONG,92.94,91.0766,96.6667,466.4672,1100.2657,1118.6903,18.7045,0.2799,18.4246,2.0,win,91.41,92.94,0.017123,ob_prox
2026-03-06,13:00,CRCLUSDT,LONG,101.89,100.145,105.3801,555.2061,1118.6903,1119.3925,1.0353,0.3331,0.7022,0.1089,session_close,100.49,101.89,0.009896,ob_prox
2026-03-10,09:45,CRCLUSDT,LONG,115.09,112.654,119.962,449.5356,1119.3925,1138.1525,19.0297,0.2697,18.76,2.0,win,113.02,115.09,0.01724,ob_prox
2026-03-12,12:45,CRCLUSDT,SHORT,114.59,116.6103,110.5494,548.7202,1138.1525,1140.2655,2.4422,0.3292,2.113,0.2524,session_close,114.59,116.23,0.017012,ob_prox
2026-03-13,10:15,CRCLUSDT,SHORT,116.72,119.7362,110.6877,375.072,1140.2655,1144.4108,4.3703,0.225,4.1453,0.4509,session_close,116.72,119.36,0.00829,ob_prox
2026-03-16,10:00,CRCLUSDT,LONG,123.85,119.9339,131.6822,307.6389,1144.4108,1149.1444,4.9182,0.1846,4.7336,0.5056,session_close,120.29,123.85,0.026407,ob_prox
2026-03-20,13:00,CRCLUSDT,SHORT,126.6,128.9159,121.9681,533.9494,1149.1444,1151.228,2.404,0.3204,2.0836,0.2461,session_close,126.6,128.51,0.026592,ob_prox
2026-03-23,13:30,CRCLUSDT,LONG,123.97,122.1606,127.5888,670.4387,1151.228,1164.9948,14.1691,0.4023,13.7668,1.448,session_close,122.54,123.97,0.013602,ob_prox
2026-03-24,11:30,CRCLUSDT,SHORT,103.63,107.2233,96.4434,285.5865,1164.9948,1170.8587,6.0353,0.1714,5.8639,0.6095,session_close,103.63,106.77,0.018091,ob_prox
2026-03-25,10:30,CRCLUSDT,SHORT,104.43,110.653,91.9839,167.0113,1170.8587,1171.4462,0.6877,0.1002,0.5875,0.0691,session_close,104.43,110.2,0.014916,ob_prox
2026-03-26,13:45,CRCLUSDT,SHORT,98.6,99.9887,95.8226,706.975,1171.4462,1172.7428,1.7208,0.4242,1.2966,0.1728,session_close,98.6,99.54,0.009511,ob_prox
2026-03-27,10:15,CRCLUSDT,SHORT,93.66,95.5534,89.8732,493.1032,1172.7428,1171.8678,-0.5791,0.2959,-0.875,-0.0581,session_close,93.66,95.1,0.016586,ob_prox
2026-03-30,12:45,CRCLUSDT,SHORT,91.88,93.0051,89.6297,813.4112,1171.8678,1191.3016,19.9218,0.488,19.4338,2.0,win,91.88,92.6,0.019673,ob_prox
2026-03-31,15:15,CRCLUSDT,SHORT,95.06,97.6472,89.8856,372.0553,1191.3016,1189.2389,-1.8395,0.2232,-2.0627,-0.1817,session_close,95.06,97.24,0.015122,ob_prox
2026-04-02,10:45,CRCLUSDT,LONG,86.77,85.1687,89.9727,547.7401,1189.2389,1209.1274,20.2171,0.3286,19.8885,2.0,win,85.58,86.77,0.029608,ob_prox
2026-04-08,13:45,CRCLUSDT,SHORT,95.14,96.0056,93.4089,1129.6727,1209.1274,1229.0048,20.5552,0.6778,19.8774,2.0,win,95.14,95.65,0.009167,ob_prox
2026-04-09,13:15,CRCLUSDT,SHORT,89.08,90.4748,86.2903,667.1529,1229.0048,1249.4976,20.8931,0.4003,20.4928,2.0,win,89.08,90.11,0.027757,ob_prox
2026-04-13,10:15,CRCLUSDT,LONG,95.58,93.4217,99.8965,470.3476,1249.4976,1263.7815,14.5661,0.2822,14.2839,1.3715,session_close,93.77,95.58,0.098639,ob_prox
