session_date,scan_et,symbol,side,entry,sl,tp,notional_usdt,wallet_before,wallet_after,pnl_usdt_gross,fee_usdt,pnl_usdt,pnl_r,outcome,ob_low,ob_high,impulse_pct,entry_mode
2026-05-28,13:30,COINUSDT,LONG,180.56,178.7768,184.1263,1020.9704,1186.217,1195.217,9.6126,0.6126,9.0,0.9534,session_close,179.3,180.56,0.008631,ob_prox
2026-05-29,11:30,COINUSDT,LONG,188.71,186.1686,193.7929,754.364,1195.217,1196.2435,1.4791,0.4526,1.0265,0.1456,session_close,186.7,188.71,0.053253,ob_prox
2026-06-02,09:45,COINUSDT,SHORT,175.71,178.6954,169.7392,598.4591,1196.2435,1201.5042,5.6198,0.3591,5.2607,0.5527,session_close,175.71,178.19,0.010445,ob_prox
2026-06-03,10:30,COINUSDT,SHORT,167.62,169.7601,163.3398,799.8974,1201.5042,1221.4499,20.4256,0.4799,19.9457,2.0,win,167.62,169.24,0.023409,ob_prox
2026-06-04,14:15,COINUSDT,LONG,164.58,163.4,166.9401,1448.0343,1221.4499,1218.5575,-2.0236,0.8688,-2.8924,-0.1949,session_close,163.92,164.58,0.011131,ob_prox
2026-06-08,15:00,COINUSDT,SHORT,162.51,164.1419,159.2462,1031.4729,1218.5575,1220.0332,2.0946,0.6189,1.4757,0.2022,session_close,162.51,163.62,0.011861,ob_prox
2026-06-09,11:45,COINUSDT,SHORT,154.17,156.3481,149.8138,734.0282,1220.0332,1212.9272,-6.6656,0.4404,-7.106,-0.6428,session_close,154.17,155.81,0.032858,ob_prox
2026-06-11,11:00,COINUSDT,SHORT,155.27,157.3105,151.1891,784.5333,1212.9272,1202.1466,-10.3099,0.4707,-10.7806,-1.0,loss,155.27,156.78,0.015152,ob_prox
2026-06-12,10:15,COINUSDT,LONG,160.56,154.2992,173.0815,262.0517,1202.1466,1200.749,-1.2404,0.1572,-1.3976,-0.1214,session_close,154.83,160.56,0.015538,ob_prox
2026-06-16,12:00,COINUSDT,LONG,170.11,168.4907,173.3487,1072.1755,1200.749,1196.261,-3.8447,0.6433,-4.488,-0.3767,session_close,168.97,170.11,0.013136,ob_prox
2026-06-18,12:15,COINUSDT,SHORT,163.98,165.4266,161.0868,1152.6413,1196.261,1215.9058,20.3364,0.6916,19.6448,2.0,win,163.98,164.95,0.018401,ob_prox
2026-06-22,14:45,COINUSDT,SHORT,165.12,166.2078,162.9443,1568.7627,1215.9058,1215.5345,0.57,0.9413,-0.3713,0.0552,session_close,165.12,165.77,0.00934,ob_prox
2026-06-23,13:00,COINUSDT,SHORT,160.01,161.8777,156.2747,885.186,1215.5345,1224.5186,9.5152,0.5311,8.9841,0.9209,session_close,160.01,161.44,0.010123,ob_prox
2026-06-24,12:30,COINUSDT,SHORT,152.08,153.3398,149.5604,1256.4825,1224.5186,1238.8015,15.0368,0.7539,14.2829,1.4447,session_close,152.08,152.89,0.021432,ob_prox
2026-06-25,15:00,COINUSDT,SHORT,142.73,144.3461,139.4977,929.9493,1238.8015,1238.048,-0.1955,0.558,-0.7535,-0.0186,session_close,142.73,143.88,0.021941,ob_prox
2026-06-29,11:15,COINUSDT,LONG,148.01,146.3329,151.3642,928.7263,1238.048,1258.5376,21.0468,0.5572,20.4896,2.0,win,146.76,148.01,0.014476,ob_prox
