session_date,scan_et,symbol,side,entry,sl,tp,notional_usdt,wallet_before,wallet_after,pnl_usdt_gross,fee_usdt,pnl_usdt,pnl_r,outcome,ob_low,ob_high,impulse_pct,entry_mode
2026-02-24,10:15,COINUSDT,LONG,157.11,154.2774,162.7752,6.6003,14.0,14.2027,0.2067,0.004,0.2027,1.7369,session_close,154.65,157.11,0.01058,ob_prox
2026-02-25,09:45,COINUSDT,LONG,174.31,166.0262,190.8776,2.504,14.0,14.1377,0.1392,0.0015,0.1377,1.1698,session_close,166.46,174.31,0.008759,ob_prox
2026-02-26,15:30,COINUSDT,LONG,180.98,179.6232,183.6937,15.8727,14.0,14.0001,0.0096,0.0095,0.0001,0.0811,session_close,180.06,180.98,0.008069,ob_prox
2026-03-04,10:45,COINUSDT,LONG,208.93,205.5721,215.6458,7.4042,14.0,13.991,-0.0046,0.0044,-0.009,-0.0387,session_close,206.13,208.93,0.049167,ob_prox
2026-03-05,14:00,COINUSDT,LONG,202.71,201.0766,205.9769,14.768,14.0,14.2291,0.238,0.0089,0.2291,2.0,win,201.64,202.71,0.009889,ob_prox
2026-03-06,12:30,COINUSDT,SHORT,197.34,199.7902,192.4396,9.5842,14.0,13.9981,0.0039,0.0058,-0.0019,0.0327,session_close,197.34,199.22,0.012935,ob_prox
2026-03-09,10:00,COINUSDT,SHORT,196.75,204.5122,181.2256,3.0163,14.0,13.9517,-0.0465,0.0018,-0.0483,-0.3904,session_close,196.75,203.97,0.013966,ob_prox
2026-03-10,14:00,COINUSDT,SHORT,198.28,200.3608,194.1185,11.3397,14.0,14.0847,0.0915,0.0068,0.0847,0.7689,session_close,198.28,199.81,0.012928,ob_prox
2026-03-12,11:30,COINUSDT,LONG,195.29,192.1205,201.6291,7.3321,14.0,13.9254,-0.0702,0.0044,-0.0746,-0.59,session_close,192.65,195.29,0.009076,ob_prox
2026-03-13,10:00,COINUSDT,SHORT,201.76,204.3444,196.5912,9.2902,14.0,14.2324,0.238,0.0056,0.2324,2.0,win,201.76,203.8,0.008508,ob_prox
2026-03-16,10:00,COINUSDT,LONG,202.6,198.2537,211.2925,5.5472,14.0,14.0156,0.0189,0.0033,0.0156,0.1588,session_close,198.74,202.6,0.012502,ob_prox
2026-03-17,09:30,COINUSDT,LONG,204.47,201.728,209.954,8.8738,14.0,14.2327,0.238,0.0053,0.2327,2.0,win,202.22,204.47,0.008206,ob_prox
2026-03-19,09:45,COINUSDT,LONG,195.7,194.1392,198.8216,14.9207,14.0,14.229,0.238,0.009,0.229,2.0,win,194.66,195.7,0.016017,ob_prox
2026-03-25,10:45,COINUSDT,SHORT,186.67,189.0954,181.8192,9.1589,14.0,14.2325,0.238,0.0055,0.2325,2.0,win,186.67,188.55,0.009228,ob_prox
2026-03-31,12:00,COINUSDT,LONG,167.12,165.0711,171.2178,9.7063,14.0,14.2322,0.238,0.0058,0.2322,2.0,win,165.59,167.12,0.008395,ob_prox
2026-04-01,10:45,COINUSDT,LONG,175.1,172.6118,180.0765,8.3742,14.0,13.876,-0.119,0.005,-0.124,-1.0,loss,173.12,175.1,0.013076,ob_prox
2026-04-06,13:00,COINUSDT,SHORT,176.57,178.2033,173.3035,12.8649,14.0,14.1125,0.1202,0.0077,0.1125,1.0102,session_close,176.57,177.78,0.014323,ob_prox
