symbol,event,time_et,time_cn,side,entry,exit,notional_usdt,outcome,pnl_usdt_gross,fee_usdt,pnl_usdt
MSTR,open,2026-07-02 10:01:00,2026-07-02 22:01:00,LONG,101.3685,,22.163,,,,
COIN,close,2026-07-02 10:03:00,2026-07-02 22:03:00,LONG,169.2104,169.9735,17.1697,win,0.0774,0.0137,0.0637
INTC,close,2026-07-02 10:04:00,2026-07-02 22:04:00,LONG,129.6955,129.5995,17.9127,loss,-0.0133,0.0143,-0.0276
MSTR,close,2026-07-02 10:06:00,2026-07-02 22:06:00,LONG,101.3685,101.7191,22.163,win,0.0767,0.0177,0.059
CRCL,close,2026-07-02 10:06:00,2026-07-02 22:06:00,LONG,67.2525,67.5313,17.2778,win,0.0716,0.0138,0.0578
HOOD,open,2026-07-02 10:06:00,2026-07-02 22:06:00,LONG,117.381,,15.1626,,,,
COIN,open,2026-07-02 10:07:00,2026-07-02 22:07:00,LONG,171.2514,,17.2374,,,,
CRCL,open,2026-07-02 10:11:00,2026-07-02 22:11:00,LONG,68.4366,,17.3393,,,,
MSTR,open,2026-07-02 10:11:00,2026-07-02 22:11:00,LONG,102.9867,,22.2257,,,,
SNDK,open,2026-07-02 10:16:00,2026-07-02 22:16:00,SHORT,1957.7128,,20.6018,,,,
CRCL,close,2026-07-02 10:16:00,2026-07-02 22:16:00,LONG,68.4366,68.6517,17.3393,win,0.0545,0.0139,0.0406
MSTR,close,2026-07-02 10:16:00,2026-07-02 22:16:00,LONG,102.9867,103.2651,22.2257,win,0.0601,0.0178,0.0423
HOOD,close,2026-07-02 10:17:00,2026-07-02 22:17:00,LONG,117.381,118.9606,15.1626,win,0.204,0.0121,0.1919
COIN,close,2026-07-02 10:17:00,2026-07-02 22:17:00,LONG,171.2514,171.6888,17.2374,win,0.044,0.0138,0.0302
SOXL,open,2026-07-02 10:27:00,2026-07-02 22:27:00,SHORT,208.3249,,25.1903,,,,
INTC,open,2026-07-02 10:30:00,2026-07-02 22:30:00,SHORT,125.1946,,17.8834,,,,
SOXL,close,2026-07-02 10:31:00,2026-07-02 22:31:00,SHORT,208.3249,205.4524,25.1903,win,0.3473,0.0202,0.3271
SNDK,close,2026-07-02 10:36:00,2026-07-02 22:36:00,SHORT,1957.7128,1905.8103,20.6018,win,0.5462,0.0165,0.5297
SOXL,open,2026-07-02 10:36:00,2026-07-02 22:36:00,SHORT,206.3717,,25.5378,,,,
