session_date,side,entry,exit,sl,notional_usdt,pnl_usdt_gross,fee_usdt,pnl_usdt,outcome,hold_minutes,wallet_after,entry_ms
2026-05-01,SHORT,191.6844,192.397,195.5181,1034.0035,-3.8437,0.8272,-4.6709,loss,16.0,2428.2786,1777652580000
2026-05-01,LONG,193.1446,192.071,189.2818,1032.0184,-5.7366,0.8256,-6.5622,loss,57.0,2421.7164,1777657080000
2026-05-01,SHORT,191.9921,192.3163,195.832,1029.2295,-1.7379,0.8234,-2.5613,loss,4013.0,2419.1551,1777660620000
2026-05-04,LONG,191.9631,200.7014,188.1238,1028.1409,46.8021,0.8225,45.9796,win,9.0,2465.1347,1777901460000
2026-05-04,LONG,196.6539,200.0666,192.7208,1047.6822,18.1811,0.8381,17.343,win,21.0,2482.4777,1777902060000
2026-05-04,LONG,202.3044,205.0762,198.2583,1055.053,14.455,0.844,13.611,win,37.0,2496.0887,1777904400000
2026-05-04,LONG,205.5691,204.8182,201.4578,1060.8377,-3.875,0.8487,-4.7237,loss,17.0,2491.365,1777906920000
2026-05-04,LONG,205.9557,204.967,201.8366,1058.8301,-5.0826,0.8471,-5.9297,loss,12.0,2485.4353,1777916940000
2026-05-04,SHORT,203.6558,203.9688,207.7289,1056.31,-1.6235,0.845,-2.4685,loss,94.0,2482.9668,1777918500000
2026-05-05,LONG,204.4335,207.2486,200.3449,1055.2609,14.5312,0.8442,13.687,win,1.0,2496.6538,1777987800000
2026-05-05,LONG,205.5525,205.1555,201.4415,1061.0779,-2.0493,0.8489,-2.8982,loss,5.0,2493.7556,1777988160000
2026-05-05,SHORT,201.1776,199.2614,205.2011,1059.8461,10.0946,0.8479,9.2467,win,12.0,2503.0023,1777989120000
2026-05-05,SHORT,198.2591,199.0598,202.2243,1063.776,-4.2966,0.851,-5.1476,loss,6.0,2497.8547,1777989960000
2026-05-05,SHORT,196.3765,197.568,200.304,1061.5882,-6.4413,0.8493,-7.2906,loss,10.0,2490.5641,1777991880000
2026-05-05,SHORT,196.6764,196.1165,200.6099,1058.4897,3.0135,0.8468,2.1667,win,42.0,2492.7308,1777997400000
2026-05-05,SHORT,194.774,196.0963,198.6695,1059.4106,-7.1923,0.8475,-8.0398,loss,36.0,2484.691,1778002320000
