day,symbol,time_et,dir,entry,stop,box_hh,box_ll,box_pct,birth_disp_pct,disp_pct,pct_1,ok_1,pct_4,ok_4,pct_20,ok_20,stop_hit_20
2026-07-01,SOXL,14:35,down,218.82,229.2,229.2,219.45,4.46,88.8,88.8,0.14,+,0.16,+,0.69,+,Y
2026-07-01,SOXL,14:40,down,218.52,227.32,227.32,218.68,3.95,88.9,88.9,0.58,+,-1.95,-,0.56,+,Y
2026-07-01,SOXL,14:45,down,217.25,227.32,227.32,217.64,4.46,88.9,88.9,0.47,+,-3.93,-,-0.02,-,Y
2026-07-01,SOXL,14:50,down,216.23,227.32,227.32,216.8,4.87,89.0,89.0,-1.03,-,-3.56,-,-0.49,-,Y
2026-07-02,SOXL,10:30,down,201.03,233.2,233.2,203.72,14.66,88.1,88.1,-0.22,-,2.87,+,6.55,+,N
2026-07-02,SOXL,10:40,down,196.16,232.29,232.29,200.5,16.21,88.1,88.1,-0.83,-,2.01,+,7.24,+,N
2026-07-02,SOXL,11:00,down,192.22,230.92,230.92,194.77,18.81,88.2,88.2,-0.12,-,0.95,+,5.12,+,N
2026-07-02,SOXL,11:10,down,190.8,227.88,227.88,191.98,18.82,88.3,88.3,1.88,+,-2.14,-,6.17,+,N
2026-07-02,SOXL,11:15,down,187.22,227.88,227.88,189.65,20.42,88.3,88.3,-1.69,-,-3.84,-,5.11,+,N
2026-07-02,SOXL,12:05,down,186.24,227.61,227.61,186.7,21.97,88.4,88.4,-0.88,-,2.38,+,7.66,+,N
2026-07-02,SOXL,12:15,down,184.38,220.92,220.92,185.45,19.24,88.4,88.4,1.32,+,3.11,+,7.0,+,N
2026-07-02,SOXL,12:20,down,181.95,212.91,212.91,184.29,15.73,88.5,88.5,0.08,+,-0.24,-,5.05,+,N
2026-07-02,SOXL,12:30,down,179.35,206.46,206.46,181.6,13.86,88.6,88.6,0.39,+,0.18,+,1.77,+,N
2026-07-02,SOXL,12:35,down,178.65,201.56,201.56,179.14,12.55,88.6,88.6,-2.09,-,0.55,+,2.12,+,N
2026-07-02,SOXL,12:55,down,177.66,199.57,199.57,177.86,12.22,88.7,88.7,0.65,+,0.89,+,0.26,+,N
2026-07-02,SOXL,13:35,down,173.59,197.37,197.37,175.6,12.54,88.7,88.7,-0.6,-,1.22,+,0.93,+,N
2026-07-02,SOXL,13:45,down,171.97,192.87,192.87,173.05,11.53,88.8,88.8,-1.0,-,-3.41,-,-0.97,-,N
2026-07-02,SOXL,15:20,down,169.97,190.97,190.97,171.4,11.51,88.8,88.8,-2.15,-,-2.85,-,-6.77,-,N
2026-07-02,SOXL,15:55,up,181.48,169.02,180.29,169.02,6.21,89.4,89.4,0.0,-,0.0,-,0.0,-,N
2026-07-03,SOXL,12:40,down,189.54,194.42,194.42,189.74,2.47,88.2,88.2,0.06,+,-0.33,-,-0.33,-,N
2026-06-25,HOOD,09:35,down,95.13,99.83,99.83,96.42,3.58,88.9,88.9,0.88,+,2.08,+,0.38,+,N
2026-06-25,HOOD,09:40,down,94.29,99.42,99.42,95.04,4.65,88.9,88.9,-0.01,-,0.02,+,-0.6,-,N
2026-06-25,HOOD,09:50,down,93.52,99.42,99.42,94.16,5.62,89.0,89.0,0.4,+,-2.28,-,-1.69,-,N
2026-06-25,HOOD,09:55,down,93.15,99.42,99.42,93.44,6.42,89.1,89.1,-1.2,-,-2.98,-,-1.77,-,N
2026-06-26,HOOD,09:30,up,94.5,91.75,93.59,91.75,1.95,89.8,89.8,0.47,+,0.71,+,2.36,+,N
2026-06-26,HOOD,09:55,up,96.07,91.75,95.45,91.75,3.85,89.9,89.9,0.0,-,-0.63,-,2.25,+,N
2026-06-26,HOOD,10:30,up,96.59,91.75,96.41,91.75,4.82,89.9,89.9,-0.76,-,-1.0,-,0.77,+,N
2026-06-26,HOOD,11:05,up,96.78,91.75,96.7,91.75,5.11,90.0,90.0,-0.05,-,0.84,+,0.59,+,N
2026-06-26,HOOD,11:15,up,97.04,91.75,96.84,91.75,5.25,90.0,90.0,0.04,+,1.23,+,0.14,+,N
2026-06-26,HOOD,11:25,up,97.59,92.11,97.14,92.11,5.15,90.1,90.1,0.41,+,0.23,+,0.06,+,N
2026-06-26,HOOD,11:30,up,97.99,94.3,97.61,94.3,3.38,90.1,90.1,0.24,+,-0.28,-,-0.54,-,N
2026-06-26,HOOD,11:35,up,98.23,94.31,98.0,94.31,3.76,90.2,90.2,0.08,+,-0.38,-,-1.07,-,N
2026-06-26,HOOD,15:50,up,98.98,94.31,98.33,94.31,4.06,90.2,90.2,-0.27,-,-0.27,-,-0.27,-,N
2026-06-29,HOOD,10:10,down,98.43,101.85,101.85,99.13,2.76,89.2,89.2,-0.89,-,-2.84,-,-1.89,-,N
2026-06-29,HOOD,12:45,up,101.9,98.98,101.83,98.98,2.8,90.2,90.2,0.0,-,0.32,+,-0.32,-,N
2026-06-29,HOOD,13:00,up,102.05,98.98,101.92,98.98,2.88,90.3,90.3,0.18,+,-0.07,-,0.16,+,N
2026-06-29,HOOD,13:05,up,102.23,98.98,102.08,98.98,3.03,90.3,90.3,0.45,+,0.16,+,0.23,+,N
2026-06-29,HOOD,13:10,up,102.69,98.98,102.34,98.98,3.27,90.4,90.4,-0.22,-,-0.39,-,-0.33,-,N
2026-06-29,HOOD,15:45,up,102.87,98.98,102.75,98.98,3.66,90.4,90.4,-0.78,-,-0.92,-,-0.92,-,N
2026-06-30,HOOD,11:25,up,103.05,100.21,102.72,100.21,2.44,90.0,90.0,-0.04,-,-1.25,-,-1.91,-,N
2026-07-01,HOOD,09:30,up,101.41,99.37,100.78,99.37,1.39,89.6,89.6,-0.16,-,2.05,+,6.51,+,N
2026-07-01,HOOD,09:40,up,102.72,99.37,102.0,99.37,2.56,89.7,89.7,0.72,+,1.81,+,5.36,+,N
2026-07-01,HOOD,09:45,up,103.46,99.37,102.82,99.37,3.33,89.7,89.7,0.03,+,1.61,+,4.19,+,N
2026-07-01,HOOD,09:55,up,104.59,99.37,104.09,99.37,4.51,89.8,89.8,-0.01,-,1.06,+,2.94,+,N
2026-07-01,HOOD,10:05,up,105.13,99.37,104.61,99.37,4.98,89.8,89.8,0.27,+,-0.18,-,2.53,+,N
2026-07-01,HOOD,10:10,up,105.41,99.37,105.13,99.37,5.46,89.9,89.9,0.28,+,-0.3,-,2.3,+,N
2026-07-01,HOOD,10:15,up,105.7,99.37,105.6,99.37,5.89,89.9,89.9,-0.26,-,-0.76,-,2.42,+,N
2026-07-01,HOOD,11:00,up,107.59,99.37,105.86,99.37,6.03,90.0,90.0,-0.03,-,0.59,+,0.83,+,N
2026-07-01,HOOD,11:10,up,108.01,99.73,107.65,99.73,7.33,90.0,90.0,-0.15,-,-0.3,-,0.2,+,N
2026-07-01,HOOD,11:20,up,108.23,99.82,108.18,99.82,7.72,90.1,90.1,-0.41,-,-0.3,-,-0.23,-,N
2026-07-01,HOOD,12:20,up,108.45,100.49,108.42,100.49,7.31,90.1,90.1,0.32,+,0.03,+,0.21,+,N
2026-07-01,HOOD,12:25,up,108.8,103.9,108.76,103.9,4.47,90.2,90.2,-0.04,-,-0.3,-,-0.04,-,N
2026-07-01,HOOD,15:30,up,109.35,103.9,108.96,103.9,4.63,90.2,90.2,-0.04,-,-0.6,-,-0.59,-,N
2026-07-02,HOOD,09:30,up,117.16,111.64,113.17,111.64,1.31,90.0,90.0,0.54,+,0.78,+,-2.8,-,N
2026-07-02,HOOD,09:35,up,117.79,111.64,117.66,111.64,5.11,90.1,90.1,0.8,+,0.38,+,-3.82,-,N
2026-07-02,HOOD,09:40,up,118.73,111.64,118.57,111.64,5.84,90.1,90.1,-1.45,-,-0.72,-,-4.08,-,N
2026-07-02,HOOD,10:10,up,119.37,111.64,118.89,111.64,6.07,90.2,90.2,-0.72,-,-2.8,-,-4.72,-,N
2026-06-25,CRCL,09:30,down,69.74,73.41,73.41,69.86,5.09,88.1,88.1,-0.13,-,2.52,+,-0.3,-,N
2026-06-25,CRCL,09:40,down,69.21,72.74,72.74,69.29,4.98,88.2,88.2,1.03,+,0.23,+,-1.5,-,N
2026-06-25,CRCL,09:45,down,68.5,72.74,72.74,68.96,5.52,88.3,88.3,0.76,+,-2.23,-,-2.58,-,N
2026-06-25,CRCL,09:50,down,67.98,72.62,72.62,68.25,6.43,88.3,88.3,0.13,+,-2.28,-,-3.3,-,N
2026-06-25,CRCL,09:55,down,67.89,72.62,72.62,67.91,6.94,88.4,88.4,-1.71,-,-2.89,-,-2.93,-,N
2026-06-26,CRCL,09:40,up,71.15,67.49,70.56,67.49,4.31,84.6,84.6,0.48,+,3.13,+,2.47,+,N
2026-06-26,CRCL,09:50,up,72.48,67.49,71.66,67.49,5.75,84.8,84.8,0.83,+,0.9,+,0.76,+,N
2026-06-26,CRCL,09:55,up,73.08,67.49,72.49,67.49,6.84,84.9,84.9,0.41,+,-0.44,-,0.45,+,N
2026-06-26,CRCL,10:00,up,73.38,67.49,73.25,67.49,7.85,85.0,85.0,-0.61,-,0.03,+,0.53,+,N
2026-06-26,CRCL,12:30,up,74.21,67.49,73.79,67.49,8.49,85.1,85.1,-0.07,-,-0.28,-,-0.49,-,N
